"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"110","19-0110","RUA DOUTOR DOMINGOS BELLIZZE 183","25900058","CENTRO","MAGÉ","RJ"
"111","19-0111","RUA ARAUJO LEITE , 166  - EDIFICIO DO FORUM - SALA 01 - TERREO","27600000","CENTRO","VALENÇA","RJ"
"112","19-0112","AV. DEPUTADO LUIZ FERNANDO LINHARES, 1020, 3 PAVIMENTO - FÓRUM","28460000","BOA VISTA","MIRACEMA","RJ"
"116","19-0116","AV. ALMIRANTE JULIO CESAR DE NORONHA 58","23900010","SAO BENTO","ANGRA DOS REIS","RJ"
"118","19-0118","AV. DOM HELDER CAMARA, 10.121","21380002","CASCADURA","RIO DE JANEIRO","RJ"
"119","19-0119","AV. AYRTON SENNA 2001 BLOCO C","22775002","BARRA DA TIJUCA","RIO DE JANEIRO","RJ"
"120","19-0120","RUA TAQUAREMBÓ S/N- 2 ANDAR (REGIONAL DE CAMPO GRANDE)","23070140","CAMPO GRANDE","RIO DE JANEIRO","RJ"
"122","19-0122","ESTRADA RIO-SÃO PAULO, 176, CAMPO GRANDE","23087005","CAMPO GRANDE","RIO DE JANEIRO","RJ"
"123","19-0123","RUA FERNÃO DIAS S/N","21615280","DEODORO","RIO DE JANEIRO","RJ"
"125","19-0125","RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA","23515040","SANTA CRUZ","RIO DE JANEIRO","RJ"
"126","19-0126","AVENIDA BRIGADEIRO LIMA E SILVA, 350","25085132","PARQUE DUQUE","DUQUE DE CAXIAS","RJ"
"127","19-0127","AV. BRIGADEIRO LIMA E SILVA, 350","25085132","PARQUE DUQUE","DUQUE DE CAXIAS","RJ"
"128","19-0128","AV. BRIGADEIRO LIMA E SILVA, 350, 25 DE AGOSTO, DUQUE DE CAXIAS/RJ","25085132","25 DE AGOSTO","DUQUE DE CAXIAS","RJ"
"129","19-0129","AV. DR. ALBERTO TORRES, 81","28010116","CENTRO","CAMPOS DOS GOYTACAZES","RJ"
"130","19-0130","ROD. AFONSO CELSO, S/N - PRACA DOS TRES PODERES - FORUM","28230000","CENTRO","SÃO FRANCISCO DE ITABAPOANA","RJ"
"131","19-0131","AV. LUCAS EVANGELISTA DE OLIVEIRA FRANCO, 437 (ANTIGO FÓRUM)","27215630","ATERRADO","VOLTA REDONDA","RJ"
