NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
RIO DE JANEIRO,15,Vereador,TÂNIA BASTOS ,10,PRB,ELEITO POR QP,127
RIO DE JANEIRO,252,Vereador,BISPO INALDO SILVA,10,PRB,ELEITO POR QP,64
RIO DE JANEIRO,169,Vereador,JOÃO MENDES DE JESUS,10,PRB,ELEITO POR QP,865
RIO DE JANEIRO,117,Vereador,JOÃO MENDES DE JESUS,10,PRB,ELEITO POR QP,28
RIO DE JANEIRO,190,Vereador,TÂNIA BASTOS ,10,PRB,ELEITO POR QP,152
RIO DE JANEIRO,117,Vereador,TÂNIA BASTOS ,10,PRB,ELEITO POR QP,870
RIO DE JANEIRO,121,Vereador,BISPO INALDO SILVA,10,PRB,ELEITO POR QP,134
RIO DE JANEIRO,236,Vereador,JOÃO MENDES DE JESUS,10,PRB,ELEITO POR QP,352
RIO DE JANEIRO,10,Vereador,DR GILBERTO,33,PMN,ELEITO POR QP,14
RIO DE JANEIRO,218,Vereador,DR GILBERTO,33,PMN,ELEITO POR QP,66
RIO DE JANEIRO,209,Vereador,DR GILBERTO,33,PMN,ELEITO POR QP,17
RIO DE JANEIRO,173,Vereador,DR GILBERTO,33,PMN,ELEITO POR QP,8
RIO DE JANEIRO,178,Vereador,MARCELO ARAR,14,PTB,ELEITO POR QP,58
RIO DE JANEIRO,212,Vereador,MARCELO ARAR,14,PTB,ELEITO POR QP,98
RIO DE JANEIRO,214,Vereador,MARCELO ARAR,14,PTB,ELEITO POR QP,158
RIO DE JANEIRO,232,Vereador,ZICO,14,PTB,ELEITO POR QP,133
RIO DE JANEIRO,120,Vereador,MARCELO ARAR,14,PTB,ELEITO POR QP,68
RIO DE JANEIRO,165,Vereador,ZICO,14,PTB,ELEITO POR QP,6
RIO DE JANEIRO,233,Vereador,MARCELO ARAR,14,PTB,ELEITO POR QP,52
RIO DE JANEIRO,121,Vereador,ZICO,14,PTB,ELEITO POR QP,7
RIO DE JANEIRO,211,Vereador,MARCELO ARAR,14,PTB,ELEITO POR QP,493
RIO DE JANEIRO,252,Vereador,MARCELO ARAR,14,PTB,ELEITO POR QP,330
RIO DE JANEIRO,228,Vereador,LEONEL BRIZOLA NETO,50,PSOL,ELEITO POR MÉDIA,82
RIO DE JANEIRO,20,Vereador,LEONEL BRIZOLA NETO,50,PSOL,ELEITO POR MÉDIA,102
RIO DE JANEIRO,24,Vereador,LEONEL BRIZOLA NETO,50,PSOL,ELEITO POR MÉDIA,214
RIO DE JANEIRO,246,Vereador,DAVID MIRANDA,50,PSOL,ELEITO POR MÉDIA,41
RIO DE JANEIRO,19,Vereador,LEONEL BRIZOLA NETO,50,PSOL,ELEITO POR MÉDIA,138
